T:0.23958333333333334,|0.6614583333333334,V:0.17708333333333334,|0.7239583333333334,
T:0.9427083333333334,|0.052083333333333336,V:0.921875,|0.078125,
T:0.9270833333333334,|0.07291666666666667,V:0.9322916666666666,|0.06770833333333333,
T:0.953125,|0.041666666666666664,V:0.9583333333333334,|0.03125,
T:0.9375,|0.0625,V:0.9479166666666666,|0.041666666666666664,
T:0.9114583333333334,|0.052083333333333336,V:0.9322916666666666,|0.046875,
T:0.96875,|0.03125,V:0.921875,|0.07291666666666667,
T:0.953125,|0.03125,V:0.9427083333333334,|0.052083333333333336,
T:0.953125,|0.046875,V:0.9479166666666666,|0.041666666666666664,
T:0.9583333333333334,|0.041666666666666664,V:0.9479166666666666,|0.046875,
T:0.9375,|0.0625,V:0.9166666666666666,|0.057291666666666664,
T:0.9479166666666666,|0.041666666666666664,V:0.9583333333333334,|0.03125,
T:0.9635416666666666,|0.036458333333333336,V:0.9635416666666666,|0.036458333333333336,
T:0.9635416666666666,|0.036458333333333336,V:0.9375,|0.057291666666666664,
T:0.953125,|0.036458333333333336,V:0.9479166666666666,|0.052083333333333336,
T:0.9583333333333334,|0.03125,V:0.9791666666666666,|0.010416666666666666,
T:0.984375,|0.015625,V:0.9375,|0.057291666666666664,
T:0.9010416666666666,|0.09895833333333333,V:0.9114583333333334,|0.08854166666666667,
T:0.9322916666666666,|0.06770833333333333,V:0.9322916666666666,|0.057291666666666664,
T:0.953125,|0.041666666666666664,V:0.9375,|0.052083333333333336,
T:0.96875,|0.03125,V:0.9583333333333334,|0.041666666666666664,
T:0.921875,|0.078125,V:0.9010416666666666,|0.08333333333333333,
T:0.9322916666666666,|0.06770833333333333,V:0.9635416666666666,|0.036458333333333336,
T:0.9583333333333334,|0.036458333333333336,V:0.9427083333333334,|0.057291666666666664,
T:0.9322916666666666,|0.057291666666666664,V:0.9375,|0.052083333333333336,
T:0.9427083333333334,|0.057291666666666664,V:0.96875,|0.03125,
T:0.953125,|0.041666666666666664,V:0.9635416666666666,|0.036458333333333336,
T:0.9739583333333334,|0.020833333333333332,V:0.9947916666666666,|0.005208333333333333,
T:0.9479166666666666,|0.036458333333333336,V:0.9479166666666666,|0.046875,
T:0.9635416666666666,|0.036458333333333336,V:0.953125,|0.046875,
T:0.9010416666666666,|0.08854166666666667,V:0.9322916666666666,|0.0625,
T:0.9322916666666666,|0.057291666666666664,V:0.9270833333333334,|0.07291666666666667,
T:0.921875,|0.07291666666666667,V:0.9427083333333334,|0.046875,
T:0.90625,|0.08854166666666667,V:0.9322916666666666,|0.0625,
T:0.953125,|0.046875,V:0.96875,|0.03125,
T:0.9322916666666666,|0.06770833333333333,V:0.9375,|0.057291666666666664,
T:0.9375,|0.057291666666666664,V:0.9270833333333334,|0.0625,
T:0.921875,|0.078125,V:0.9427083333333334,|0.046875,
T:0.9270833333333334,|0.07291666666666667,V:0.9635416666666666,|0.03125,
T:0.96875,|0.03125,V:0.96875,|0.026041666666666668,
T:0.9375,|0.057291666666666664,V:0.953125,|0.041666666666666664,
T:0.90625,|0.08333333333333333,V:0.875,|0.09375,
T:0.9583333333333334,|0.036458333333333336,V:0.9739583333333334,|0.026041666666666668,
T:0.9583333333333334,|0.036458333333333336,V:0.953125,|0.041666666666666664,
T:0.9635416666666666,|0.036458333333333336,V:0.96875,|0.026041666666666668,
T:0.9114583333333334,|0.08333333333333333,V:0.9427083333333334,|0.052083333333333336,
T:0.8958333333333334,|0.08854166666666667,V:0.9114583333333334,|0.08333333333333333,
T:0.9635416666666666,|0.036458333333333336,V:0.9739583333333334,|0.026041666666666668,
T:0.9375,|0.057291666666666664,V:0.9322916666666666,|0.06770833333333333,
T:0.890625,|0.10416666666666667,V:0.9427083333333334,|0.057291666666666664,
T:0.9479166666666666,|0.046875,V:0.9270833333333334,|0.07291666666666667,
T:0.9322916666666666,|0.052083333333333336,V:0.9635416666666666,|0.03125,
T:0.9427083333333334,|0.057291666666666664,V:0.9166666666666666,|0.07291666666666667,
T:0.9322916666666666,|0.06770833333333333,V:0.9114583333333334,|0.08854166666666667,
T:0.9166666666666666,|0.078125,V:0.921875,|0.078125,
T:0.9479166666666666,|0.046875,V:0.9427083333333334,|0.046875,
T:0.96875,|0.026041666666666668,V:0.9635416666666666,|0.03125,
T:0.9166666666666666,|0.078125,V:0.921875,|0.078125,
T:0.921875,|0.078125,V:0.9270833333333334,|0.06770833333333333,
T:0.90625,|0.08333333333333333,V:0.9270833333333334,|0.07291666666666667,
T:0.9010416666666666,|0.09895833333333333,V:0.9270833333333334,|0.07291666666666667,
T:0.953125,|0.046875,V:0.953125,|0.046875,
T:0.9635416666666666,|0.036458333333333336,V:0.96875,|0.03125,
T:0.9583333333333334,|0.03125,V:0.96875,|0.026041666666666668,
T:0.9010416666666666,|0.09375,V:0.9427083333333334,|0.052083333333333336,
T:0.9635416666666666,|0.026041666666666668,V:0.9479166666666666,|0.041666666666666664,
T:0.9583333333333334,|0.041666666666666664,V:0.9427083333333334,|0.052083333333333336,
T:0.9010416666666666,|0.09375,V:0.9427083333333334,|0.046875,
T:0.9270833333333334,|0.07291666666666667,V:0.9270833333333334,|0.06770833333333333,
T:0.9427083333333334,|0.057291666666666664,V:0.9375,|0.0625,
T:0.953125,|0.046875,V:0.9479166666666666,|0.052083333333333336,
T:0.9270833333333334,|0.07291666666666667,V:0.9010416666666666,|0.09375,
T:0.9583333333333334,|0.041666666666666664,V:0.90625,|0.08333333333333333,
T:0.9270833333333334,|0.06770833333333333,V:0.9322916666666666,|0.046875,
T:0.9479166666666666,|0.052083333333333336,V:0.9739583333333334,|0.026041666666666668,
T:0.9322916666666666,|0.0625,V:0.9479166666666666,|0.052083333333333336,
T:0.9635416666666666,|0.036458333333333336,V:0.9791666666666666,|0.020833333333333332,
T:0.9895833333333334,|0.010416666666666666,V:0.9791666666666666,|0.015625,
T:0.9739583333333334,|0.020833333333333332,V:0.9791666666666666,|0.020833333333333332,
T:0.9635416666666666,|0.03125,V:0.9791666666666666,|0.020833333333333332,
T:0.9583333333333334,|0.041666666666666664,V:0.96875,|0.020833333333333332,
T:0.9635416666666666,|0.036458333333333336,V:0.9791666666666666,|0.020833333333333332,
T:0.9479166666666666,|0.052083333333333336,V:0.953125,|0.046875,
T:0.9739583333333334,|0.026041666666666668,V:0.9583333333333334,|0.041666666666666664,
T:0.984375,|0.015625,V:0.9791666666666666,|0.015625,
T:0.953125,|0.036458333333333336,V:0.9427083333333334,|0.057291666666666664,
T:0.8854166666666666,|0.109375,V:0.90625,|0.08854166666666667,
T:0.9322916666666666,|0.06770833333333333,V:0.9427083333333334,|0.046875,
T:0.9322916666666666,|0.057291666666666664,V:0.9010416666666666,|0.07291666666666667,
T:0.9479166666666666,|0.046875,V:0.921875,|0.0625,
T:0.9375,|0.057291666666666664,V:0.9739583333333334,|0.026041666666666668,
T:0.9427083333333334,|0.057291666666666664,V:0.9375,|0.057291666666666664,
T:0.9322916666666666,|0.057291666666666664,V:0.9375,|0.057291666666666664,
T:0.9375,|0.0625,V:0.9427083333333334,|0.057291666666666664,
T:0.9427083333333334,|0.052083333333333336,V:0.9479166666666666,|0.041666666666666664,
T:0.9270833333333334,|0.07291666666666667,V:0.96875,|0.020833333333333332,
T:0.9583333333333334,|0.041666666666666664,V:0.9375,|0.052083333333333336,
T:0.9375,|0.0625,V:0.9322916666666666,|0.052083333333333336,
T:0.9583333333333334,|0.03125,V:0.953125,|0.041666666666666664,
T:0.96875,|0.026041666666666668,V:0.9322916666666666,|0.0625,
T:0.9375,|0.052083333333333336,V:0.9635416666666666,|0.026041666666666668,
T:0.9114583333333334,|0.078125,V:0.8697916666666666,|0.125,
T:0.9583333333333334,|0.041666666666666664,V:0.96875,|0.03125,
T:0.90625,|0.078125,V:0.9427083333333334,|0.057291666666666664,
T:0.96875,|0.03125,V:0.9739583333333334,|0.026041666666666668,
T:0.9322916666666666,|0.0625,V:0.9791666666666666,|0.015625,
T:0.9479166666666666,|0.052083333333333336,V:0.921875,|0.078125,
T:0.9583333333333334,|0.041666666666666664,V:0.9583333333333334,|0.036458333333333336,
T:0.9739583333333334,|0.026041666666666668,V:0.96875,|0.026041666666666668,
T:0.9739583333333334,|0.026041666666666668,V:0.9791666666666666,|0.020833333333333332,
T:0.953125,|0.041666666666666664,V:0.953125,|0.046875,
T:0.9479166666666666,|0.052083333333333336,V:0.9479166666666666,|0.036458333333333336,
T:0.9322916666666666,|0.06770833333333333,V:0.9322916666666666,|0.06770833333333333,
T:0.9322916666666666,|0.052083333333333336,V:0.9583333333333334,|0.041666666666666664,
T:0.9947916666666666,|0.005208333333333333,V:0.953125,|0.036458333333333336,
T:0.984375,|0.010416666666666666,V:0.9947916666666666,|0.005208333333333333,
T:0.9322916666666666,|0.0625,V:0.9166666666666666,|0.06770833333333333,
T:0.9635416666666666,|0.020833333333333332,V:0.9635416666666666,|0.036458333333333336,
T:0.9583333333333334,|0.036458333333333336,V:0.96875,|0.020833333333333332,
T:0.9583333333333334,|0.041666666666666664,V:0.9427083333333334,|0.057291666666666664,
T:0.9114583333333334,|0.08854166666666667,V:0.9270833333333334,|0.07291666666666667,
T:0.9739583333333334,|0.020833333333333332,V:0.9739583333333334,|0.020833333333333332,
T:0.9479166666666666,|0.052083333333333336,V:0.96875,|0.03125,
T:0.921875,|0.06770833333333333,V:0.9635416666666666,|0.036458333333333336,
T:0.9427083333333334,|0.052083333333333336,V:0.9635416666666666,|0.036458333333333336,
T:0.9375,|0.052083333333333336,V:0.921875,|0.0625,
T:0.9583333333333334,|0.041666666666666664,V:0.96875,|0.03125,
T:0.9739583333333334,|0.026041666666666668,V:0.953125,|0.046875,
T:0.9270833333333334,|0.07291666666666667,V:0.9322916666666666,|0.057291666666666664,
T:0.9635416666666666,|0.036458333333333336,V:0.953125,|0.041666666666666664,
T:0.9322916666666666,|0.0625,V:0.9166666666666666,|0.08333333333333333,
T:0.953125,|0.046875,V:1.0,|0.0,
T:0.953125,|0.046875,V:0.9322916666666666,|0.06770833333333333,
T:0.953125,|0.036458333333333336,V:0.9635416666666666,|0.036458333333333336,
T:0.9270833333333334,|0.06770833333333333,V:0.9583333333333334,|0.036458333333333336,
T:0.9375,|0.0625,V:0.96875,|0.03125,
T:0.9583333333333334,|0.036458333333333336,V:0.9479166666666666,|0.041666666666666664,
T:0.9635416666666666,|0.036458333333333336,V:0.9739583333333334,|0.020833333333333332,
T:0.953125,|0.046875,V:0.953125,|0.041666666666666664,
T:0.9739583333333334,|0.026041666666666668,V:0.953125,|0.046875,
T:0.9635416666666666,|0.03125,V:0.9166666666666666,|0.078125,
T:0.9479166666666666,|0.046875,V:0.9479166666666666,|0.052083333333333336,
T:0.9375,|0.046875,V:0.9375,|0.0625,
T:0.953125,|0.046875,V:0.9791666666666666,|0.010416666666666666,
T:0.9322916666666666,|0.0625,V:0.9479166666666666,|0.052083333333333336,
T:0.9739583333333334,|0.015625,V:0.9635416666666666,|0.026041666666666668,
T:0.9479166666666666,|0.052083333333333336,V:0.9270833333333334,|0.07291666666666667,
T:0.96875,|0.03125,V:0.9739583333333334,|0.026041666666666668,
T:0.953125,|0.041666666666666664,V:0.9322916666666666,|0.0625,
